text,intent_name
i need $20000 transferred from my savings to my checking,transfer
complete a transaction from savings to checking of $20000,transfer
transfer $20000 from my savings account to checking account,transfer
take $20000 from savings and put it in checking,transfer
put $20000 into my checking account from my savings account,transfer
send 100 dollars between bank of the west and bank of america acccounts,transfer
send 50 dollars between bank of america and chase accounts,transfer
send 2000 dollars between chase and rabobank accounts,transfer
send 1200 dollars between usaa and navy federal accounts,transfer
send 400 dollars between city bank and usaa accounts,transfer
take $40 and transfer it to account a from b,transfer
transfer $40 from account a to b,transfer
move $40 from account b to account a,transfer
put $40 from account a to b,transfer
take $40 from account a and transfer it to account b,transfer
i need to transfer from this account to that one,transfer
need to transfer from one account to my other one,transfer
i would like to transfer from one account to my second one,transfer
i need to transfer from one account to my second one,transfer
i have to transfer from one account to my other one,transfer
send fifty dollars from me to carrie,transfer
transfer sixty dollars to dad from my biggest accnt,transfer
send over a hundred dollars from huntington into saving,transfer
move 57 dollars from saving into mom,transfer
transfer two hundred dollars between my portfolio and my money market account,transfer
i need to transfer ten dollars from my bank of america account to my capital one account,transfer
go ahead and send ten dollars from bank of america to capital one,transfer
i must transfer ten dollars from my bank of america account to my capital one account,transfer
i got to transfer ten dollars from my bank of america account to my capital one account,transfer
i want you to send ten dollars from bank of america to capital one,transfer
i need you to send ten dollars from bank of america to capital one,transfer
i have to transfer ten dollars from my bank of america account to my capital one account,transfer
send ten dollars from bank of america to capital one,transfer
please send ten dollars from bank of america to capital one,transfer
make a transfer of $200 from my savings account to my checking account,transfer
please transfer $250 from checking to savings,transfer
transfer $500 from my checking to my savings,transfer
please transfer $100 from my checking to my savings account,transfer
transfer $500 from my money market savings account to my checking account,transfer
send money from one account to another,transfer
transfer 200 dollars from paypal to savings,transfer
transfer $10 from checking to savings,transfer
send $100 from paypal to my bank,transfer
please transfer 100 dollars between my amazon payments and savings accounts,transfer
i would like to make a transfer,transfer
i want to transfer funds between accounts,transfer
send over 50 dollars between my shared and not shared accounts,transfer
whats the quickest way to money from one account to another,transfer
what is the process to move money from one account to another,transfer
i need you to send 500 dollars from my high tier account to my regular checking account,transfer
can you transfer money from a to b,transfer
send my money between accounts,transfer
how can i send money from one account to another,transfer
i need to move money from one account to another,transfer
send $20 from debit to steve's account,transfer
send 20 dollars from savings to checking,transfer
please transfer my funds,transfer
please transfer $50 to my checking account from credit,transfer
go ahead and move $200 from amazon to my bank account,transfer
help me move my money,transfer
i need my money to be moved,transfer
help me move my money please,transfer
i need to move my money,transfer
move my money please,transfer
i would like to transfer $5 from savings to checking,transfer
transfer $5 from savings to checking,transfer
can you transfer $5 from savings to checking,transfer
send $5 from savings to checking,transfer
please transfer $5 from savings to checking,transfer
please switch $s checking to mortage,transfer
please transfer $s from saving to checking,transfer
could you transfer $x from saving to checking,transfer
help me transfer $x from credit to debit,transfer
please transfer $x from checking to saving,transfer
transfer money to another account,transfer
requesting money transfer between accounts,transfer
transfer money from this account to that account,transfer
can you transfer money from my account,transfer
money transfer request,transfer
send 100 dollars from checking to savings,transfer
transfer 100 dollars checking to savings,transfer
transfer 100 dollars between checking and savings,transfer
take 100 dollars from checking and send it to savings,transfer
move 100 dollars from checking to savings,transfer
can we wire some money over to the other account i have,transfer
time to move some cash from one account to another,transfer
i need to throw some money into that other account,transfer
let's send some money to another account,transfer
i want to initiate a transfer from one account to the other,transfer
transfer money from one place to another,transfer
move money from one account to another,transfer
transfer between two accounts,transfer
make a transfer between accounts,transfer
send money to another account,transfer
i need ten dollars sent from b of a to washington mutual,transfer
transfer fifty dollars between my chase and bank of america account,transfer
deposit ten bucks from my chase account to my ally account,transfer
