text,intent_name,category,pred,confidence,correct,batch
i was using my credit card as a cutting board and accidentally sliced it in half,damaged_card,complaints_security,damaged_card,0.4979453340101596,1,0
please remind me later,reminder_update,scheduling,reminder_update,0.5792309382302587,1,0
my card is unusable because it's damaged,damaged_card,complaints_security,damaged_card,0.624610091863586,1,0
stop that,cancel,order_management,cancel,0.7663480882981357,1,0
i dropped my card in my gasoline and the printing wore off,damaged_card,complaints_security,damaged_card,0.3049601149501908,1,0
does france have any current travel alerts,travel_alert,delivery_logistics,travel_alert,0.7353151357550652,1,0
who was the first capcom character,oos,out_of_scope,oos,0.17091476511734222,1,0
check to see the status of my recent online order,order_status,order_management,order_status,0.7953838076783352,1,0
what are the pros and cons of credit cards,oos,out_of_scope,bill_due,0.13919337031715467,0,0
i need to know something about my latest transaction,transactions,payments_billing,transactions,0.27635376473133083,1,0
bring up all purchases from target,transactions,payments_billing,transactions,0.19609820513300733,1,0
why did my card not get accepted please,card_declined,payments_billing,card_declined,0.58397006331134,1,0
i need you to buy a laptop,order,order_management,order,0.38890012848755495,1,0
put seatbelts on,oos,out_of_scope,oos,0.1261598874012592,1,0
remind me to call bob,reminder_update,scheduling,reminder_update,0.8287494913614303,1,0
my card has been erased and i need to report it,damaged_card,complaints_security,damaged_card,0.8506431254617612,1,0
tell me what is on my reminder list,reminder,scheduling,reminder,0.8710597283425183,1,0
can you confirm my reservation for jaime at red lobster,confirm_reservation,order_management,confirm_reservation,0.5306865529624526,1,0
requesting money transfer between accounts,transfer,payments_billing,transfer,0.6949773076244212,1,0
show me the transactions from costco yesterday,transactions,payments_billing,transactions,0.5944103600279121,1,0
get rid of my 2 pm reservation at ruth's steakhouse,cancel_reservation,order_management,restaurant_reservation,0.2216661810244518,0,0
i would like to set up direct deposit,direct_deposit,payments_billing,direct_deposit,0.9055722402107999,1,0
what is the amount i have spent on food recently,spending_history,payments_billing,spending_history,0.7930528645365089,1,0
what's the due date for my american express payment,bill_due,payments_billing,bill_due,0.4380203586967935,1,0
i think there's a fraudulent transaction on my account,report_fraud,complaints_security,report_fraud,0.8904720787477594,1,0
i would like to hear all transactions made on my amex for the last ten days,transactions,payments_billing,transactions,0.27891935543510826,1,0
please confirm my reservation for feburary 21st at 6pm,confirm_reservation,order_management,confirm_reservation,0.7406174846531414,1,0
my card is broken,damaged_card,complaints_security,damaged_card,0.4029183570471932,1,0
i think i've been the victim of fraud,report_fraud,complaints_security,report_fraud,0.35668694549171664,1,0
i need help paying my electric bill,pay_bill,payments_billing,pay_bill,0.6734227395358476,1,0
could you make reservations for 2 at olive garden for 5 pm today,restaurant_reservation,order_management,restaurant_reservation,0.3253649526911297,1,0
transfer 100 dollars between checking and savings,transfer,payments_billing,transfer,0.7748422980774762,1,0
give me the local newsi,oos,out_of_scope,oos,0.15812757811554398,1,0
shhhh,cancel,order_management,oos,0.1261598874012592,0,0
can you get me a table for 4 at red lobster at 8pm,restaurant_reservation,order_management,restaurant_reservation,0.6220140055727524,1,0
what does my personality mean,oos,out_of_scope,oos,0.1913563214473362,1,0
